NOT_FULL_FIELD,Please Fill
NOT_FIND_PRODUCT_ALIAS,Could not find any product with alias
NOT_FIND_PRODUCT_ID,Could not find any product with id
GENERAL_SAVE_SUCCESS,General settings have been saved.
MAIL_SERVER_SAVE_SUCCESS,Mail server settings have been saved
MAIL_TEMPLATE_SAVE_SUCCESS,Mail template settings have been saved
PAYMENT_SAVE_SUCCESS,Payment settings have been saved
IMPORT_SAVE_SUCCESS,The import has been created.
IMPORT_NOT_FOUND,Could not find any product with ID
ACCOUNT_UPDATE_SUCCESS,Your account details have been updated.
USER_SAVE_SUCCESS,The user has been saved successfully.
USER_DELETE_SUCCESS,The user has been deleted successfully
USER_ENABLE_SUCCESS,The user has been enabled
USER_DISABLE_SUCCESS,The user has been disabled
REVIEW_UPDATE_SUCCESS,The review has been updated
REVIEW_DELETE_SUCCESS,The review has been deleted
SUCCESS_PRODUCT,The product has been saved successfully
CATEGORY_LOAD_ERROR,Error loading categories for selected brand
NEGATIVE_NUMBER_ERROR,The value cannot be negative. Please enter a positive number.
PRICE_LESS_THAN_COST,The selling price cannot be less than the cost price. Please check your input.
DUPLICATE_PRODUCT_NAME,There is another product having the same name
SERVER_ERROR,Unknown response from server
CONNECTION_ERROR,Could not connect to the server
SHORT_DESCRIPTION_REQUIRED,Please enter a short description for the product.
FULL_DESCRIPTION_REQUIRED,Please enter a full description for the product.
IMAGE_UPLOAD_SIZE_ERROR,File size exceeds {0}MB. Please choose a smaller file.
IMAGE_UPLOAD_TYPE_ERROR,Invalid image format. Supported formats are JPEG and PNG.
IMAGE_MAIN_REQUIRED,Please select a main image for the product.
SHIPPING_LENGTH_ERROR,The length must be greater than 0.
SHIPPING_WIDTH_ERROR,The width must be greater than 0.
SHIPPING_HEIGHT_ERROR,The height must be greater than 0.
SHIPPING_WEIGHT_ERROR,The weight must be greater than 0.
PRODUCT_NAME_REQUIRED,Please enter a product name.
PRODUCT_NAME_LENGTH_ERROR,Product name must be between 3 and 256 characters.
COST_REQUIRED,Please enter the cost price.
PRICE_REQUIRED,Please enter the selling price.
DISCOUNT_REQUIRED,Please enter the discount percentage.
NOT_FILL_ENOUGH,Please fill at least 5 characters
FILL_TOO_LONG,Please fill below 256 characters
MIS_MATCH_NUMBER_PORT,Accept value from 0-99999
LOGO_UPLOAD_SIZE_ERROR,File size exceeds MB. Please choose a smaller file.
LOGO_UPLOAD_TYPE_ERROR,Invalid image format. Supported formats are JPEG and PNG.
NOT_NULL_NOTES,Notes cannot be empty.
EXCEED_MAX_LENGTH_NOTES, Notes cannot exceed 256 characters.
NOT_NULL_DELIVERDAYS, Deliver days cannot be empty.
DELIVERDAYS_NUMBER_ERROR, Deliver days must be a positive integer.
NOT_NULL_PHONENUMBER, Phone number cannot be empty.
NOT_PHONENUMBER, Phone number must be 10 digit number.
NOT_NULL_FIRSTNAME, First name cannot be empty.
EXCEED_MAX_LENGTH_FIRSTNAME, First name cannot exceed 30 characters.
NOT_NULL_LASTNAME,Last name cannot be empty.
EXCEED_MAX_LENGTH_LASTNAME, Last name cannot exceed 30 characters.
UPDATE_ORDER_INFO_SUCCESS, The order ID ? has been updated successfully.
